date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:38:18	11230/11230	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2018:40:49%20GMT	https://dapptoolsolution.com/index.html	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/index.html	(from )
11:38:21	4019/4019	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2018:40:49%20GMT	https://dapptoolsolution.com/form.html	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/form.html	(from )
11:38:21	5061/5061	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Jul%202022%2016:38:21%20GMT	https://dapptoolsolution.com/robots.txt		(from )
11:38:23	9127/9127	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Jul%202022%2016:38:22%20GMT	https://dapptoolsolution.com/assets/img/favicon.png	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/img/favicon.png	(from https://dapptoolsolution.com/index.html)
11:38:24	9127/9127	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Jul%202022%2016:38:24%20GMT	https://dapptoolsolution.com/assets/img/apple-touch-icon.png	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/img/apple-touch-icon.png	(from https://dapptoolsolution.com/index.html)
11:38:24	5430/5430	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2262e2d831-1536%22	https://dapptoolsolution.com/favicon.ico	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/favicon.ico	(from https://dapptoolsolution.com/index.html)
11:38:27	957/957	---MC-	200	added ('OK')	text/css	date:Sun,%2031%20Jul%202022%2016:38:27%20GMT	https://fonts.googleapis.com/css?family=Raleway:400,500,700|Roboto:400,900	/home/trevor/websites/dapptoolsolution.com//dapp/fonts.googleapis.com/cssaf65.css	(from https://dapptoolsolution.com/index.html)
11:38:29	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	/home/trevor/websites/dapptoolsolution.com//dapp/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://dapptoolsolution.com/index.html)
11:38:30	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Jul%202022%2016:38:30%20GMT	https://fonts.gstatic.com/	/home/trevor/websites/dapptoolsolution.com//dapp/fonts.gstatic.com/index.html	(from https://dapptoolsolution.com/index.html)
11:38:30	215/215	---MC-	200	added ('OK')	text/css	date:Sun,%2031%20Jul%202022%2016:38:30%20GMT	https://fonts.googleapis.com/css2?family=Oswald:wght@600&display=swap	/home/trevor/websites/dapptoolsolution.com//dapp/fonts.googleapis.com/css29760.css	(from https://dapptoolsolution.com/index.html)
11:38:30	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Jul%202022%2016:38:30%20GMT	https://fonts.googleapis.com/	/home/trevor/websites/dapptoolsolution.com//dapp/fonts.googleapis.com/index.html	(from https://dapptoolsolution.com/index.html)
11:38:31	163873/163873	---MCZ	200	added ('OK')	text/css	etag:W/%2262e2d831-28021%22	https://dapptoolsolution.com/assets/vendor/bootstrap/css/bootstrap.min.css	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://dapptoolsolution.com/index.html)
11:38:32	63987/63987	---MCZ	200	added ('OK')	text/css	etag:W/%2262e2d831-11e37%22	https://dapptoolsolution.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://dapptoolsolution.com/index.html)
11:38:32	13785/13785	---MCZ	200	added ('OK')	text/css	etag:W/%2262e2d831-35d9%22	https://dapptoolsolution.com/assets/vendor/glightbox/css/glightbox.min.css	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/vendor/glightbox/css/glightbox.min.css	(from https://dapptoolsolution.com/index.html)
11:38:34	14952/14952	---MCZ	200	added ('OK')	text/css	etag:W/%2262e2d831-542b%22	https://dapptoolsolution.com/assets/css/style.css	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/css/style.css	(from https://dapptoolsolution.com/index.html)
11:38:36	5670/5670	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2018:40:49%20GMT	https://dapptoolsolution.com/home.html	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/home.html	(from https://dapptoolsolution.com/index.html)
11:38:36	301193/301193	---M--	200	added ('OK')	image/png	etag:%2262e2d831-49889%22	https://dapptoolsolution.com/assets/img/logo.png	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/img/logo.png	(from https://dapptoolsolution.com/index.html)
11:38:37	77839/77839	---M--	200	added ('OK')	image/png	etag:%2262e2d831-1300f%22	https://dapptoolsolution.com/assets/img/matic-logo.png	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/img/matic-logo.png	(from https://dapptoolsolution.com/index.html)
11:38:38	10968/10968	---M--	200	added ('OK')	image/png	etag:%2262e2d831-2ad8%22	https://dapptoolsolution.com/assets/img/ethereum-logo.png	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/img/ethereum-logo.png	(from https://dapptoolsolution.com/index.html)
11:38:39	123409/123409	---M--	200	added ('OK')	image/png	etag:%2262e2d831-1e211%22	https://dapptoolsolution.com/assets/img/Solana-Crypto-Logo-PNG.png	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/img/Solana-Crypto-Logo-PNG.png	(from https://dapptoolsolution.com/index.html)
11:38:40	307163/307163	---M--	200	added ('OK')	image/png	etag:%2262e2d831-4afdb%22	https://dapptoolsolution.com/assets/img/ada-logo.png	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/img/ada-logo.png	(from https://dapptoolsolution.com/index.html)
11:38:42	69917/69917	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd6ff-1111d%22	https://code.jquery.com/jquery-3.3.1.slim.min.js	/home/trevor/websites/dapptoolsolution.com//dapp/code.jquery.com/jquery-3.3.1.slim.min.js	(from https://dapptoolsolution.com/index.html)
11:38:42	9127/9127	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Jul%202022%2016:38:42%20GMT	https://dapptoolsolution.com/assets/vendor/purecounter/purecounter.js	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/vendor/purecounter/purecounter.js	(from https://dapptoolsolution.com/index.html)
11:38:44	78129/78129	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262e2d831-13131%22	https://dapptoolsolution.com/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://dapptoolsolution.com/index.html)
11:38:45	56222/56222	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262e2d831-db9e%22	https://dapptoolsolution.com/assets/vendor/glightbox/js/glightbox.min.js	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/vendor/glightbox/js/glightbox.min.js	(from https://dapptoolsolution.com/index.html)
11:38:46	1901/1901	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262e2d831-aab%22	https://dapptoolsolution.com/assets/vendor/php-email-form/validate.js	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/vendor/php-email-form/validate.js	(from https://dapptoolsolution.com/index.html)
11:38:47	2701/2701	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262e2d831-112c%22	https://dapptoolsolution.com/assets/js/main.js	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/js/main.js	(from https://dapptoolsolution.com/index.html)
11:38:47	9127/9127	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Jul%202022%2016:38:48%20GMT	https://dapptoolsolution.com/assets/apple-touch-icon.png	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/apple-touch-icon.png	(from https://dapptoolsolution.com/form.html)
11:38:48	9127/9127	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Jul%202022%2016:38:49%20GMT	https://dapptoolsolution.com/assets/favicon.ico	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/favicon.ico	(from https://dapptoolsolution.com/form.html)
11:38:51	198/198	---MC-	200	added ('OK')	text/css	date:Sun,%2031%20Jul%202022%2016:38:51%20GMT	https://fonts.googleapis.com/css?family=Teko:700&display=swap	/home/trevor/websites/dapptoolsolution.com//dapp/fonts.googleapis.com/cssb585.css	(from https://dapptoolsolution.com/form.html)
11:38:52	140936/140936	---M-Z	200	added ('OK')	text/css	etag:W/%2222688-Z1/PKPn783E507LAtnb5b2AaQgM%22	https://cdn.jsdelivr.net/npm/bootstrap@4.1.3/dist/css/bootstrap.min.css	/home/trevor/websites/dapptoolsolution.com//dapp/cdn.jsdelivr.net/npm/bootstrap@4.1.3/dist/css/bootstrap.min.css	(from https://dapptoolsolution.com/form.html)
11:38:53	949/949	---MCZ	200	added ('OK')	text/css	etag:W/%2262e2d831-609%22	https://dapptoolsolution.com/loading.css	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/loading.css	(from https://dapptoolsolution.com/form.html)
11:38:53	6045/6045	---M--	200	added ('OK')	image/png	etag:%2262e2d831-179d%22	https://dapptoolsolution.com/assets/images/wclogo.png	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/images/wclogo.png	(from https://dapptoolsolution.com/form.html)
11:38:55	5051/5051	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2018:40:49%20GMT	https://dapptoolsolution.com/form1.html	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/form1.html	(from https://dapptoolsolution.com/form.html)
11:38:55	20337/20337	---M-Z	200	added ('OK')	application/javascript	etag:W/%224f71-2FA2RcF/mFaGin3vPcBQXhmpXsc%22	https://cdn.jsdelivr.net/npm/popper.js@1.14.3/dist/umd/popper.min.js	/home/trevor/websites/dapptoolsolution.com//dapp/cdn.jsdelivr.net/npm/popper.js@1.14.3/dist/umd/popper.min.js	(from https://dapptoolsolution.com/form.html)
11:38:57	51039/51039	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c75f-J6cbADg9Ye88SJMms1ZNaY/BInw%22	https://cdn.jsdelivr.net/npm/bootstrap@4.1.3/dist/js/bootstrap.min.js	/home/trevor/websites/dapptoolsolution.com//dapp/cdn.jsdelivr.net/npm/bootstrap@4.1.3/dist/js/bootstrap.min.js	(from https://dapptoolsolution.com/form.html)
11:38:58	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2031%20Jul%202022%2016:38:58%20GMT	https://fonts.googleapis.com/robots.txt		(from https://dapptoolsolution.com/index.html)
11:38:59	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Jul%202022%2016:39:00%20GMT	https://fonts.gstatic.com/robots.txt		(from https://dapptoolsolution.com/index.html)
11:39:00	9127/9127	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Jul%202022%2016:39:01%20GMT	https://dapptoolsolution.com/assets/apple-icon-180x180.png	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/assets/apple-icon-180x180.png	(from https://dapptoolsolution.com/home.html)
11:39:02	88905/88905	---MCZ	200	added ('OK')	text/css	etag:W/%2262e2d831-1623e%22	https://dapptoolsolution.com/main.550dcf66.css	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/main.550dcf66.css	(from https://dapptoolsolution.com/home.html)
11:39:03	18432/18432	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2018:40:49%20GMT	https://dapptoolsolution.com/wallets.html	/home/trevor/websites/dapptoolsolution.com//dapp/dapptoolsolution.com/wallets.html	(from https://dapptoolsolution.com/home.html)
